Speaker,Modern Thai,Thai Boran
A,"เรียนท่าน ดิฉันใคร่ขอเรียนถามถึงแนวทางการพัฒนาบุคลากรในองค์กร","เรียนท่าน ดิฉันใคร่ขอเรียนถามถึงแนวทางการพัฒนาบุคลากรในองค์การ"
B,"กระผมมีความยินดีที่จะอธิบาย กระผมเห็นว่าการส่งเสริมการศึกษาและการฝึกอบรมเป็นสิ่งสำคัญ","กระผมมีความยินดีที่จะอธิบาย กระผมเห็นว่าการส่งเสริมการศึกษาและการฝึกอบรมเป็นสิ่งสำคัญ"
A,"ขอบพระคุณท่านมากสำหรับคำแนะนำ ดิฉันจะนำไปพิจารณา","ขอบพระคุณท่านมากสำหรับคำแนะนำ ดิฉันจักนำไปพิจารณา"
B,"ด้วยความยินดี หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดี หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการตรวจสอบเอกสารโครงการนี้","ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการตรวจสอบเอกสารโครงการนี้"
B,"กระผมยินดีที่จะตรวจสอบให้ หากมีข้อแก้ไขประการใดจะแจ้งให้ทราบ","กระผมยินดีที่จะตรวจสอบให้ หากมีข้อแก้ไขประการใดจักแจ้งให้ทราบ"
A,"ขอบพระคุณท่านเป็นอย่างยิ่งสำหรับความกรุณา","ขอบพระคุณท่านเป็นอย่างยิ่งสำหรับความกรุณา"
B,"ไม่เป็นไรครับ ด้วยความยินดีเสมอ","มิเป็นไรครับ ด้วยความยินดีเสมอ"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอเข้าพบเพื่อหารือเกี่ยวกับงบประมาณ","เรียนท่าน ดิฉันมีความประสงค์จักขอเข้าพบเพื่อหารือเกี่ยวกับงบประมาณ"
B,"กระผมขอเรียนเชิญท่านเข้ามาพบได้ในวันจันทร์เวลาบ่ายสองโมงครับ","กระผมขอเรียนเชิญท่านเข้ามาพบได้ในวันจันทร์เวลาบ่ายสองโมงครับ"
A,"ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ","ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ"
B,"ด้วยความยินดีครับ แล้วพบกันครับ","ด้วยความยินดีครับ แล้วพบกันครับ"
A,"ท่านครับ ผมใคร่ขอทราบความคืบหน้าของการดำเนินการในเรื่องนี้","ท่านครับ ผมใคร่ขอทราบความคืบหน้าของการดำเนินการในเรื่องนี้"
B,"กระผมขอเรียนว่าขณะนี้กำลังอยู่ในขั้นตอนการพิจารณา คาดว่าจะแล้วเสร็จภายในสัปดาห์หน้า","กระผมขอเรียนว่าขณะนี้กำลังอยู่ในขั้นตอนการพิจารณา คาดว่าจะแล้วเสร็จภายในสัปดาห์หน้า"
A,"ขอบพระคุณท่านสำหรับข้อมูลครับ","ขอบพระคุณท่านสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยสามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยสามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการจัดสรรงบประมาณเพิ่มเติม","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการจัดสรรงบประมาณเพิ่มเติม"
B,"กระผมจะนำเรื่องนี้เข้าสู่การพิจารณา และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักนำเรื่องนี้เข้าสู่การพิจารณา และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดี หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดี หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมมีความประสงค์จะขอลาพักร้อนในช่วงเดือนหน้า","ท่านครับ ผมมีความประสงค์จักขอลาพักร้อนในช่วงเดือนหน้า"
B,"กระผมจะพิจารณาคำขอลาพักร้อนของท่าน และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักพิจารณาคำขอลาพักร้อนของท่าน และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านสำหรับความเข้าใจครับ","ขอบพระคุณท่านสำหรับความเข้าใจครับ"
